epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
0.1,1e-05,512,10,6,11.56,49.28536225
0.1,1e-05,512,10,7,11.56,49.45598417
0.1,1e-05,512,10,8,11.56,50.50505051
0.1,1e-05,512,10,9,11.56,50
0.1,1e-05,512,100,0,10.38,49.40711462
0.1,1e-05,512,100,1,10.38,50.1002004
0.1,1e-05,512,100,2,10.38,50.42864347
0.1,1e-05,512,100,3,10.38,50.25125628
0.1,1e-05,512,100,4,10.38,50.12531328
0.1,1e-05,512,100,5,10.38,50.47955578
0.1,1e-05,512,100,6,10.38,49.28536225
0.1,1e-05,512,100,7,10.38,49.45598417
0.1,1e-05,512,100,8,10.38,50.50505051
0.1,1e-05,512,100,9,10.38,50
1,1e-05,32,0.1,0,40.19,49.90118577
1,1e-05,32,0.1,1,40.19,51.10220441
1,1e-05,32,0.1,2,40.19,50.42864347
1,1e-05,32,0.1,3,40.19,50.60301508
1,1e-05,32,0.1,4,40.19,51.22807018
1,1e-05,32,0.1,5,40.19,49.87380111
1,1e-05,32,0.1,6,40.19,49.43321833
1,1e-05,32,0.1,7,40.19,49.85163205
1,1e-05,32,0.1,8,40.19,50.90909091
1,1e-05,32,0.1,9,40.19,50.8
1,1e-05,32,10,0,21.5,49.90118577
1,1e-05,32,10,1,21.5,49.9498998
1,1e-05,32,10,2,21.5,50.47907211
1,1e-05,32,10,3,21.5,50.20100503
1,1e-05,32,10,4,21.5,50.02506266
1,1e-05,32,10,5,21.5,50.58051489
1,1e-05,32,10,6,21.5,49.28536225
1,1e-05,32,10,7,21.5,49.45598417
1,1e-05,32,10,8,21.5,50.50505051
1,1e-05,32,10,9,21.5,49.95
1,1e-05,32,100,0,10.11,49.40711462
1,1e-05,32,100,1,10.11,50.1002004
1,1e-05,32,100,2,10.11,50.37821483
1,1e-05,32,100,3,10.11,50.25125628
1,1e-05,32,100,4,10.11,50.1754386
1,1e-05,32,100,5,10.11,50.53003534
1,1e-05,32,100,6,10.11,49.28536225
1,1e-05,32,100,7,10.11,49.55489614
1,1e-05,32,100,8,10.11,50.50505051
1,1e-05,32,100,9,10.11,50
1,1e-05,128,0.1,0,42.69,49.55533597
1,1e-05,128,0.1,1,42.69,51.65330661
1,1e-05,128,0.1,2,42.69,50.32778618
1,1e-05,128,0.1,3,42.69,50.35175879
1,1e-05,128,0.1,4,42.69,50.22556391
1,1e-05,128,0.1,5,42.69,50.47955578
1,1e-05,128,0.1,6,42.69,48.84179399
1,1e-05,128,0.1,7,42.69,49.85163205
1,1e-05,128,0.1,8,42.69,51.01010101
1,1e-05,128,0.1,9,42.69,50.05
1,1e-05,128,10,0,24.22,49.40711462
1,1e-05,128,10,1,24.22,50.1002004
1,1e-05,128,10,2,24.22,50.42864347
1,1e-05,128,10,3,24.22,50.25125628
1,1e-05,128,10,4,24.22,50.12531328
1,1e-05,128,10,5,24.22,50.47955578
1,1e-05,128,10,6,24.22,49.28536225
1,1e-05,128,10,7,24.22,49.45598417
1,1e-05,128,10,8,24.22,50.50505051
1,1e-05,128,10,9,24.22,50
1,1e-05,128,100,0,9.99,49.40711462
1,1e-05,128,100,1,9.99,50.1002004
1,1e-05,128,100,2,9.99,50.42864347
1,1e-05,128,100,3,9.99,50.25125628
1,1e-05,128,100,4,9.99,50.12531328
